Date,Description,Amount
30/12/2025,PRISM MEDIA GROUP             LONDON,79.91
29/12/2025,NOVA FITNESS CENTER           EDINBURGH,6.53
28/12/2025,HORIZON LOGISTICS             BIRMINGHAM,73.42
27/12/2025,VIGOR SPORTS GEAR             LONDON,22.81
21/12/2025,HORIZON LOGISTICS             LONDON,78.56
19/12/2025,RADIANT SOLAR TECH            BIRMINGHAM,61.68
17/12/2025,AZURE TECH SOLUTIONS          LONDON,68.34
16/12/2025,ECHO STREAMING SERVICE        BRISTOL,62.42
13/12/2025,APEX AUTOMOTIVE               BIRMINGHAM,82.19
12/12/2025,CATALYST EDUCATION            BRISTOL,17.48
06/12/2025,APEX AUTOMOTIVE               MANCHESTER,81.89
05/12/2025,CATALYST EDUCATION            MANCHESTER,77.06
04/12/2025,APEX AUTOMOTIVE               BRISTOL,76.05
01/12/2025,INFINITE SOFTWARE             LONDON,28.86
