Date,Description,Amount
30/05/2026,VERTEX GAMING                 LONDON,19.69
28/05/2026,MOSAIC DESIGN STUDIO          BRISTOL,24.86
27/05/2026,TITAN DELIVERY                EDINBURGH,24.10
26/05/2026,ZENITH LOGISTICS              BRISTOL,49.23
21/05/2026,NEXUS DIGITAL MEDIA           BIRMINGHAM,14.12
20/05/2026,HARMONIC HEALTH CLINIC        BRISTOL,10.26
19/05/2026,VIGOR SPORTS GEAR             BIRMINGHAM,22.53
14/05/2026,NEXUS DIGITAL MEDIA           BIRMINGHAM,61.18
13/05/2026,VIGOR SPORTS GEAR             EDINBURGH,31.96
12/05/2026,NEBULA PUBLISHING             BIRMINGHAM,70.15
02/05/2026,NEBULA PUBLISHING             LONDON,48.85
01/05/2026,SYNERGY CONSULTING            BIRMINGHAM,49.98
