Date,Description,Amount
27/02/2026,NEXUS DIGITAL MEDIA           MANCHESTER,64.39
25/02/2026,QUANTUM RETAIL LTD            LONDON,68.65
22/02/2026,LUMINA DENTAL                 LONDON,142.22
21/02/2026,INFINITE SOFTWARE             BIRMINGHAM,146.09
20/02/2026,PRISM MEDIA GROUP             EDINBURGH,41.77
19/02/2026,LUMINA DENTAL                 BIRMINGHAM,12.16
16/02/2026,RADIANT SOLAR TECH            BIRMINGHAM,63.42
10/02/2026,AURORA RESTAURANT             MANCHESTER,129.05
07/02/2026,LUMINA DENTAL                 MANCHESTER,58.36
03/02/2026,LUMINA DENTAL                 MANCHESTER,101.86
