Date,Description,Amount
29/03/2026,HORIZON LOGISTICS             MANCHESTER,13.74
28/03/2026,CRYSTAL UTILITIES             BRISTOL,51.07
24/03/2026,QUANTUM RETAIL LTD            EDINBURGH,72.39
22/03/2026,OBSIDIAN SECURITY             BIRMINGHAM,39.51
19/03/2026,VERTEX GAMING                 LONDON,17.24
18/03/2026,STELLAR BOOKSTORE             BIRMINGHAM,36.89
17/03/2026,INFINITE SOFTWARE             BIRMINGHAM,74.41
15/03/2026,AURORA RESTAURANT             EDINBURGH,14.37
08/03/2026,NEXUS DIGITAL MEDIA           BRISTOL,27.28
07/03/2026,QUANTUM RETAIL LTD            BIRMINGHAM,9.82
04/03/2026,APEX AUTOMOTIVE               MANCHESTER,56.66
02/03/2026,PRISM MEDIA GROUP             BRISTOL,71.49
